year,title,performer,weeks_on_chart,loudness,mean_active_notes,change_frequency,unique_chords,weighted_std,dynamic_range
1958,Chantilly Lace,Big Bopper,22,-11.451493940062832,4.6535883603073405,1.836194212849436,7.0,134.57586512341126,1026.026545586634
1958,Rock-in Robin,Bobby Day,21,-14.456335221366514,4.935691800329786,2.260230849947534,7.0,82.88774401636387,677.1059936296423
1958,It's All In The Game,Tommy Edwards,20,-16.14480504212968,4.348993288590604,1.5833214336712838,7.0,143.3717639589637,964.4137380553799
1958,Tears On My Pillow,Little Anthony And The Imperials,19,-11.520070508778858,4.586341961852861,1.4649182561307903,8.0,120.14321828484312,830.4892619211938
1958,Topsy II,Cozy Cole,19,-14.297466923940977,4.879336513443191,2.0999566348655683,7.0,114.74403441962112,845.0221370467724
1958,Bird Dog,The Everly Brothers,18,-12.789231101436991,5.0459555706291335,1.9040189927081568,6.0,98.61402307107322,724.6205115349115
1958,Tea For Two Cha Cha,The Tommy Dorsey Orchestra,18,-16.07300859820776,4.7097947518836065,1.8085216939464797,8.0,155.75491331701224,1098.9277395593256
1958,Little Star,The Elegants,17,-14.267761014948462,4.339110986860498,1.3427453173050041,8.0,102.40145158622512,896.4290755015254
1958,Near You,Roger Williams,17,-16.23472769125421,4.202091577162238,1.329423403052572,7.0,97.4185125041384,563.4353255218265
1958,Susie Darlin',Robin Luke,17,-18.660940328660853,4.691600060322727,1.727039662192731,7.0,137.6410424969305,771.4170654080775
1958,Win Your Love For Me,Sam Cooke,17,-14.298634002843874,4.402962284318217,1.610322186593373,6.0,111.61203372049617,882.1980369453223
1958,How The Time Flies,Jerry Wallace,16,,,,,,
1958,It's Only Make Believe,Conway Twitty,16,-11.394070280452707,4.303272980501393,1.467966573816156,8.0,131.26660527248902,1118.4075378908417
1958,Nel Blu Dipinto Di Blu (Volaré),Domenico Modugno,16,-12.83209513360632,4.3625390667097745,1.4072637137622588,8.0,137.64140608342493,904.8459062624879
1958,No One Knows,Dion & The Belmonts,16,-12.186674019904093,4.337068443367656,1.1636886735311933,7.0,133.36461863523664,851.5162051302424
1958,Summertime Blues,Eddie Cochran,16,-9.218078191131845,5.186778799139448,2.146098181106982,5.0,102.30793282706121,896.9882566753487
1958,Ten Commandments Of Love,Harvey & The Moonglows,16,-18.376067889761806,4.363966818902041,1.3135427346444217,6.0,138.55093711439093,950.9533878194019
1958,The End,Earl Grant,16,-22.506502387373022,4.354738052225325,1.4025291509279028,8.0,128.76751622953284,742.0869327478011
1958,There Goes My Heart,Joni James,16,-12.801623456229667,3.972218050758372,1.3065024778495269,8.0,110.9874357030498,985.2400866554268
1958,You Cheated,The Shields,16,-15.091388833826516,4.061881188118812,1.2914191419141914,8.0,91.37711490093636,837.0629872149984
1958,Hideaway,The Four Esquires,15,,,,,,
1958,Just A Dream,Jimmy Clanton And His Rockets,15,,,,,,
1958,Mexican Hat Rock,The Applejacks,15,-11.212491999691144,4.551889400921659,1.9657142857142857,8.0,96.12313511943815,796.700194189877
1958,The Day The Rains Came,Jane Morgan,15,-15.95555375515509,3.916795665634675,1.3983488132094943,7.0,112.65862272838181,945.9888897316167
1958,"To Know Him, Is To Love Him",The Teddy Bears,15,-13.702857882053458,4.128496084385488,1.3843695061531085,8.0,128.77796692031953,796.1199760871914
1958,Treasure Of Your Love,Eileen Rodgers,15,-10.708155765146664,4.3202818046335185,1.6580409158650589,7.0,114.31183057921437,898.6201377300998
1958,Born Too Late,Poni-Tails,14,-12.225168048369982,4.42796538265739,1.5377566604445954,8.0,89.64632389088962,871.2798505442188
1958,Call Me,Johnny Mathis,14,,,,,,
1958,Devoted To You,The Everly Brothers,14,-13.898496574912807,4.25843949044586,1.2105095541401274,8.0,127.19688794490833,934.3492715811175
1958,Forget Me Not,Kalin Twins,14,-10.764402167998435,4.383576874205845,1.5193773824650572,7.0,98.96509376637259,945.4249902568808
1958,Itchy Twitchy Feeling,Bobby Hendricks,14,-10.620614973124248,4.6032048231001115,1.967793114389973,5.0,114.32748207230254,819.443086117451
1958,My True Love,Jack Scott,14,-11.295946421984166,4.3447919740336385,1.3176453231041605,7.0,95.16573294819062,757.1095965310114
1958,Patricia,Perez Prado And His Orchestra,14,-10.24923248744217,4.930312330745622,2.0054161400974904,6.0,153.3251300991666,772.7078741382337
1958,Pussy Cat,The Ames Brothers,14,,,,,,
1958,Somebody Touched Me,Buddy Knox with the Rhythm Orchids,14,,,,,,
1958,Tom Dooley,The Kingston Trio,14,-7.592897982653164,4.961556420233463,1.832217898832685,6.0,70.89696295640935,920.4400685303631
1958,Are You Really Mine,Jimmie Rodgers,13,-15.876761105794843,4.262472544712896,1.374647003451522,8.0,155.43285157181242,897.0157325107224
1958,"Come On, Let's Go",Ritchie Valens,13,-12.184571186294187,4.557207376740685,1.715844937899887,5.0,76.99805135842662,565.7712645934548
1958,Firefly,Tony Bennett,13,-9.84409915175536,4.373075404658508,1.7812870114488748,7.0,138.40911523410276,958.0675938004093
1958,Need You,Donnie Owens,13,,,,,,
1958,Queen Of The Hop,Bobby Darin,13,-11.563919208969294,4.86661807580175,2.0495626822157433,6.0,98.36461902579698,778.7204537615698
1958,She Was Only Seventeen (He Was One Year More),Marty Robbins,13,-12.8652317152604,4.44169835234474,1.7461977186311788,6.0,149.29408068623778,887.4253659872408
1958,Stupid Cupid,Connie Francis,13,-12.774175124887538,4.827833071416099,2.004190675746464,7.0,121.34821838102835,947.0404836812677
1958,The Secret,Gordon MacRae,13,,,,,,
1958,Topsy I,Cozy Cole,13,-9.03419599555788,4.96960648395009,2.0750773168390744,5.0,103.73825579475005,838.8131220185261
1958,Volare (Nel Blu Dipinto Di Blu),Dean Martin,13,-12.238674709452232,4.4683528052381565,1.3359866478366929,8.0,141.17622142169517,920.5758314382869
1958,A Lover's Question,Clyde McPhatter,12,-12.860530386972043,4.41361098536291,1.687339671042704,5.0,140.32865530704,773.2240248701834
1958,Down The Aisle Of Love,The Quin-Tones,12,-13.777999496406322,4.206251669783596,1.3924659364146406,7.0,81.07987105579089,724.4149693421103
1958,Everybody Loves A Lover,Doris Day,12,-11.6999253281947,4.766125617501764,1.5940719830628087,7.0,146.02808567746794,964.3788778778362
1958,Fever,Peggy Lee,12,-15.195763989075234,4.681559707554833,1.3740280840199606,8.0,186.76620608510402,969.6029310128348
1958,I Got A Feeling,Ricky Nelson,12,-9.37427159573479,4.694228949858089,1.813434247871334,7.0,101.31359233456244,642.3317823978704
1958,La-Do-Dada,Dale Hawkins,12,-6.788542493446269,4.74672619047619,1.5636904761904762,5.0,112.0213477396534,874.4936052581467
1958,"Promise Me, Love",Andy Williams,12,-14.562584202488898,4.429440789473684,1.718092105263158,7.0,145.12578416247757,861.4503235453773
1958,Western Movies,The Olympics,12,-13.344589879053212,4.86225229579507,1.750120831319478,8.0,91.25522552168472,773.9064449459883
1958,You Cheated,The Slades,12,-12.843836067873399,4.1128883420486,1.1113503537373115,7.0,92.75471723522998,726.0501938896118
1958,A Letter To An Angel,Jimmy Clanton,11,,,,,,
1958,All Over Again,Johnny Cash,11,-8.142937849123747,4.576110315186247,1.704512893982808,7.0,143.2513035005339,806.5820797797946
1958,Blue Ribbon Baby,Tommy Sands And The Raiders,11,,,,,,
1958,For My Good Fortune,Pat Boone,11,-14.264331252940941,5.003217158176944,2.0184092940125113,7.0,89.39462149198592,842.2263564489455
1958,Ginger Bread,Frankie Avalon,11,-11.578928135592356,4.82822673305247,1.9967445423209498,5.0,68.88250107758705,737.6484389433296
1958,I'll Wait For You,Frankie Avalon,11,-12.970296184352856,4.14525730916788,1.2718613573223971,8.0,114.7665305751831,783.5287602011211
1958,Lonesome Town,Ricky Nelson,11,-15.736886495976846,4.272431361449193,1.6419473535239173,8.0,145.1694312118712,873.5563035684786
1958,Non Dimenticar (Don't Forget),Nat King Cole,11,-12.583986037956256,4.123338870431894,1.4440753045404209,8.0,108.0589521843432,887.7442324599571
1958,Over And Over,Bobby Day,11,-13.991364119077842,4.681982872200264,1.9617918313570488,7.0,133.337543640316,882.5652033515483
