year,title,performer,weeks_on_chart
1958,Chantilly Lace,Big Bopper,22
1958,Rock-in Robin,Bobby Day,21
1958,It's All In The Game,Tommy Edwards,20
1958,Tears On My Pillow,Little Anthony And The Imperials,19
1958,Topsy II,Cozy Cole,19
1958,Bird Dog,The Everly Brothers,18
1958,Tea For Two Cha Cha,The Tommy Dorsey Orchestra,18
1958,Little Star,The Elegants,17
1958,Near You,Roger Williams,17
1958,Susie Darlin',Robin Luke,17
1958,Win Your Love For Me,Sam Cooke,17
1958,How The Time Flies,Jerry Wallace,16
1958,It's Only Make Believe,Conway Twitty,16
1958,Nel Blu Dipinto Di Blu (Volaré),Domenico Modugno,16
1958,No One Knows,Dion & The Belmonts,16
1958,Summertime Blues,Eddie Cochran,16
1958,Ten Commandments Of Love,Harvey & The Moonglows,16
1958,The End,Earl Grant,16
1958,There Goes My Heart,Joni James,16
1958,You Cheated,The Shields,16
1958,Hideaway,The Four Esquires,15
1958,Just A Dream,Jimmy Clanton And His Rockets,15
1958,Mexican Hat Rock,The Applejacks,15
1958,The Day The Rains Came,Jane Morgan,15
1958,"To Know Him, Is To Love Him",The Teddy Bears,15
1958,Treasure Of Your Love,Eileen Rodgers,15
1958,Born Too Late,Poni-Tails,14
1958,Call Me,Johnny Mathis,14
1958,Devoted To You,The Everly Brothers,14
1958,Forget Me Not,Kalin Twins,14
1958,Itchy Twitchy Feeling,Bobby Hendricks,14
1958,My True Love,Jack Scott,14
1958,Patricia,Perez Prado And His Orchestra,14
1958,Pussy Cat,The Ames Brothers,14
1958,Somebody Touched Me,Buddy Knox with the Rhythm Orchids,14
1958,Tom Dooley,The Kingston Trio,14
1958,Are You Really Mine,Jimmie Rodgers,13
1958,"Come On, Let's Go",Ritchie Valens,13
1958,Firefly,Tony Bennett,13
1958,Need You,Donnie Owens,13
1958,Queen Of The Hop,Bobby Darin,13
1958,She Was Only Seventeen (He Was One Year More),Marty Robbins,13
1958,Stupid Cupid,Connie Francis,13
1958,The Secret,Gordon MacRae,13
1958,Topsy I,Cozy Cole,13
1958,Volare (Nel Blu Dipinto Di Blu),Dean Martin,13
1958,A Lover's Question,Clyde McPhatter,12
1958,Down The Aisle Of Love,The Quin-Tones,12
1958,Everybody Loves A Lover,Doris Day,12
1958,Fever,Peggy Lee,12
1958,I Got A Feeling,Ricky Nelson,12
1958,La-Do-Dada,Dale Hawkins,12
1958,"Promise Me, Love",Andy Williams,12
1958,Western Movies,The Olympics,12
1958,You Cheated,The Slades,12
1958,A Letter To An Angel,Jimmy Clanton,11
1958,All Over Again,Johnny Cash,11
1958,Blue Ribbon Baby,Tommy Sands And The Raiders,11
1958,For My Good Fortune,Pat Boone,11
1958,Ginger Bread,Frankie Avalon,11
1958,I'll Wait For You,Frankie Avalon,11
1958,Lonesome Town,Ricky Nelson,11
1958,Non Dimenticar (Don't Forget),Nat King Cole,11
1958,Over And Over,Bobby Day,11
1958,Poor Boy,The Royaltones,11
1958,Poor Little Fool,Ricky Nelson,11
1958,"Summertime, Summertime",The Jamies,11
1958,The Ballad Of Thunder Road,Robert Mitchum,11
1958,The Ways Of A Woman In Love,Johnny Cash And The Tennessee Two,11
1958,Baby Face,Little Richard,10
1958,Carol,Chuck Berry,10
1958,Cimarron (Roll On),Billy Vaughn And His Orchestra,10
1958,Fallin',Connie Francis,10
1958,Give Myself A Party,Don Gibson,10
1958,I Wish,The Platters,10
1958,I'll Remember Tonight,Pat Boone,10
1958,If Dreams Came True,Pat Boone,10
1958,Jealous Heart,Tab Hunter,10
1958,La Paloma,Billy Vaughn And His Orchestra,10
1958,Lazy Summer Night,The Four Preps,10
1958,Look Who's Blue,Don Gibson,10
1958,Love Is All We Need,Tommy Edwards,10
1958,Love Makes The World Go 'round,Perry Como,10
1958,Mandolins In The Moonlight,Perry Como,10
1958,Mr. Success,Frank Sinatra,10
1958,Put A Ring On My Finger,Les Paul And Mary Ford,10
1958,The Blob,The Five Blobs,10
1958,The Green Mosquito,The Tune Rockers,10
1958,This Little Girl's Gone Rockin',Ruth Brown,10
1958,Walking Along,The Diamonds,10
1958,Willie And The Hand Jive,The Johnny Otis Show,10
1958,With Your Love,Jack Scott,10
1958,A Certain Smile,Johnny Mathis,9
1958,Beep Beep,The Playmates,9
1958,Betty Lou Got A New Pair Of Shoes,Bobby Freeman,9
1958,Cannonball,Duane Eddy His Twangy Guitar And The Rebels,9
1958,Come Closer To Me (Acercate Mas),Nat King Cole,9
1958,Dance Everyone Dance,Betty Madigan,9
1958,Early In The Morning,The Rinky-Dinks,9
1958,Fibbin',Patti Page,9
1959,Robbin' The Cradle,Tony Bellus,26
1959,My Heart Is An Open Book,"Carl Dobkins, Jr.",24
1959,The Battle Of New Orleans,Johnny Horton,21
1959,Just As Much As Ever,Bob Beckham,20
1959,Primrose Lane,Jerry Wallace With The Jewels,20
1959,What A Diff'rence A Day Makes,Dinah Washington,20
1959,You're So Fine,The Falcons,20
1959,Broken-Hearted Melody,Sarah Vaughan,19
1959,Mack The Knife,Bobby Darin,19
1959,Personality,Lloyd Price and His Orchestra,19
1959,Pink Shoe Laces,Dodie Stevens,19
1959,Since I Don't Have You,The Skyliners,19
1959,The Hawaiian Wedding Song (Ke Kali Nei Au),Andy Williams,19
1959,There Goes My Baby,The Drifters,19
1959,Tragedy,Thomas Wayne With the Delons,19
1959,It's Just A Matter Of Time,Brook Benton,18
1959,Lavender-Blue,Sammy Turner,18
1959,Makin' Love,Floyd Robinson,18
1959,Put Your Head On My Shoulder,Paul Anka,18
1959,Sea Of Love,Phil Phillips With The Twilights,18
1959,Sleep Walk,Santo & Johnny,18
1959,Sorry (I Ran All The Way Home),The Impalas,18
1959,Donna,Ritchie Valens,17
1959,Dream Lover,Bobby Darin,17
1959,High Hopes,"Frank Sinatra ""and a bunch of kids""",17
1959,I Cried A Tear,LaVern Baker,17
1959,Kissin' Time,Bobby Rydell,17
1959,Lipstick On Your Collar,Connie Francis,17
1959,Morgen,Ivo Robic and The Song-Masters,17
1959,Mr. Blue,The Fleetwoods,17
1959,Peter Gunn,Ray Anthony and His Orchestra,17
1959,Red River Rock,Johnny And The Hurricanes,17
1959,Sea Cruise,Frankie Ford,17
1959,Stagger Lee,Lloyd Price,17
1959,The Happy Organ,"Dave ""Baby"" Cortez",17
1959,The Three Bells,The Browns,17
1959,Venus,Frankie Avalon,17
1959,('til) I Kissed You,The Everly Brothers,16
1959,(Seven Little Girls) Sitting In The Back Seat,Paul Evans and the Curls,16
1959,Battle Hymn Of The Republic,The Mormon Tabernacle Choir,16
1959,Come Softly To Me,The Fleetwoods,16
1959,Deck Of Cards,Wink Martindale,16
1959,Guitar Boogie Shuffle,The Virtues,16
1959,I've Had It,The Bell Notes,16
1959,It Was I,Skip And Flip,16
1959,Just Ask Your Heart,Frankie Avalon,16
1959,Kansas City,Wilbert Harrison,16
1959,Lonely Street,Andy Williams,16
1959,Love Potion No. 9,The Clovers,16
1959,Mary Lou,Ronnie Hawkins and The Hawks,16
1959,May You Always,The McGuire Sisters,16
1959,Mona Lisa,Carl Mann,16
1959,Never Be Anyone Else But You,Ricky Nelson,16
1959,Only You,Franck Pourcel's French Fiddles,16
1959,Poison Ivy,The Coasters,16
1959,Quiet Village,The Exotic Sounds of Martin Denny,16
1959,So Fine,The Fiestas,16
1959,Teen Beat,Sandy Nelson,16
1959,The Angels Listened In,The Crests,16
1959,The Wonder Of You,Ray Peterson,16
1959,There Is Something On Your Mind,Big Jay McNeely And Band,16
1959,Waterloo,Stonewall Jackson,16
1959,You Were Mine,Fireflies,16
1959,(All of a Sudden) My Heart Sings,Paul Anka,15
1959,(Now and Then There's) A Fool Such As I,Elvis Presley With The Jordanaires,15
1959,16 Candles,The Crests,15
1959,A Teenager In Love,Dion & The Belmonts,15
1959,Charlie Brown,The Coasters,15
1959,Come To Me,Marv Johnson,15
1959,Don't You Know,Della Reese,15
1959,Enchanted,The Platters,15
1959,Forty Miles Of Bad Road,Duane Eddy And The Rebels,15
1959,Frankie,Connie Francis,15
1959,Hey Little Girl,Dee Clark,15
1959,Hushabye,The Mystics,15
1959,"I Loves You, Porgy",Nina Simone,15
1959,In The Mood,Ernie Fields & Orch.,15
1959,Just Keep It Up,Dee Clark,15
1959,Lonely Boy,Paul Anka,15
1959,Lonely Teardrops,Jackie Wilson,15
1959,Matilda,Cookie And His Cupcakes,15
1959,Petite Fleur (Little Flower),Chris Barber's Jazz Band,15
1959,Small World,Johnny Mathis,15
1959,Tall Paul,Annette With The Afterbeats,15
1959,Tallahassee Lassie,Freddy Cannon,15
1959,What'd I Say (Part I & II),Ray Charles and his Orchestra,15
1959,A Big Hunk O' Love,Elvis Presley With The Jordanaires,14
1959,A Boy Without A Girl,Frankie Avalon,14
1959,Caribbean,Mitchell Torok,14
1959,Crossfire,Johnny And The Hurricanes,14
1959,Danny Boy,Conway Twitty,14
1959,"Goodbye Jimmy, Goodbye",Kathy Linden,14
1959,Gotta Travel On,Billy Grammer,14
1959,I Ain't Never,Webb Pierce,14
1959,I'm Gonna Get Married,Lloyd Price,14
1959,I've Come Of Age,Billy Storm,14
